Metal,Model,Batches,Mean_recall,Median_recall,Recall_q25,Recall_q75,Mean_MAE
Fe,Ffreq,45,0.48185185185185186,0.3333333333333333,0.3333333333333333,1.0,0.16177164623617557
Fe,Cfreq,45,0.6366666666666666,0.6666666666666666,0.3333333333333333,1.0,0.14462925118603803
Fe,FC,45,0.4933333333333333,0.4,0.25,1.0,0.14830600727987941
Zn,Ffreq,45,0.5544444444444443,0.6666666666666666,0.0,1.0,0.11288390245033211
Zn,Cfreq,45,0.46333333333333326,0.4,0.3333333333333333,0.6666666666666666,0.13391720320715877
Zn,FC,45,0.5285185185185185,0.6,0.0,1.0,0.11029454197661012
Cu,Ffreq,45,0.5622222222222222,0.6666666666666666,0.3333333333333333,1.0,0.13620721979543943
Cu,Cfreq,45,0.5448148148148148,0.6,0.25,1.0,0.1678527381805416
Cu,FC,45,0.5574074074074074,0.6666666666666666,0.3333333333333333,1.0,0.11781241766208399
Cr,Ffreq,45,0.23666666666666666,0.0,0.0,0.3333333333333333,0.14164690455614973
Cr,Cfreq,45,0.6762962962962962,0.6666666666666666,0.5,1.0,0.10016153288629452
Cr,FC,45,0.5811111111111111,0.5,0.3333333333333333,1.0,0.1137987729289173
Co,Ffreq,45,0.4866666666666667,0.5,0.0,0.6666666666666666,0.0661792140915422
Co,Cfreq,45,0.7174074074074074,0.6666666666666666,0.5,1.0,0.06448373073460215
Co,FC,45,0.5629629629629629,0.5,0.3333333333333333,1.0,0.06765142896584773
Ni,Ffreq,45,0.6018518518518519,0.6666666666666666,0.3333333333333333,1.0,0.06990401678242206
Ni,Cfreq,45,0.6518518518518518,0.6666666666666666,0.5,1.0,0.06149647740041873
Ni,FC,45,0.5762962962962962,0.5,0.3333333333333333,1.0,0.062276676006656165
Mn,Ffreq,45,0.45444444444444443,0.3333333333333333,0.0,0.6666666666666666,0.11916227145574539
Mn,Cfreq,45,0.6418518518518519,0.6666666666666666,0.3333333333333333,1.0,0.11759515838957145
Mn,FC,45,0.5244444444444443,0.6,0.3333333333333333,0.6666666666666666,0.10187682047989441
Pb,Ffreq,45,0.48518518518518516,0.6,0.0,0.6666666666666666,0.09457506835517893
Pb,Cfreq,45,0.5522222222222222,0.6666666666666666,0.3333333333333333,0.75,0.11471844609683907
Pb,FC,45,0.5311111111111111,0.6666666666666666,0.0,0.8,0.08855475954548606
Cd,Ffreq,45,0.16888888888888884,0.0,0.0,0.3333333333333333,0.27079613462830887
Cd,Cfreq,45,0.23925925925925928,0.0,0.0,0.3333333333333333,0.2616749963436377
Cd,FC,45,0.21592592592592594,0.2,0.0,0.3333333333333333,0.26463718264830416
